Suburb,Jan - Mar 2023,Apr - Jun 2023,Jul - Sep 2023,Oct - Dec 2023
CARDIGAN,830000,1050000,965000,1114000
MINERS REST,587500,625000,640000,572500
LAKE GARDENS,835000,833000,783500,705000
WENDOUREE,470000,480000,483800,452500
WENDOUREE WEST,365000,340000,175000,377500
DELACOMBE,512000,537500,517500,539500
SEBASTOPOL,467500,462500,435000,448000
BUNINYONG,815000,630000,715000,687500
WINTER VALLEY,580000,580000,550000,581500
CRESWICK,603800,455000,515000,524500
CLUNES,502500,490000,510000,575000
BEAUFORT,465000,395000,480000,488000
ARARAT,307500,390000,363500,385000
STAWELL,340000,295000,342500,289000
HALLS GAP,555000,497500,630000,470000
MURTOA,255000,217500,331000,331000
MINYIP,160000,143500,179000,92000
WARRACKNABEAL,214100,262500,262000,218500
HOPETOUN,220000,75000,75000,174900
HORSHAM,399000,415000,407500,371800
GREEN LAKE,425000,433000,482500,400000
DIMBOOLA,180000,355000,281000,260000
NHILL,235000,177500,202000,199000
KANIVA,176500,285000,187500,188000
RAINBOW,152500,177500,195000,240000
DIGGERS REST,665000,661300,652500,652500
SUNBURY,650000,675000,660000,647800
RIDDELLS CREEK,720000,1116300,825000,940000
ROMSEY,752500,757500,762300,770000
LANCEFIELD,727500,630000,655000,615000
GISBORNE,1050000,975000,997500,1012500
NEW GISBORNE,895000,900000,820000,745000
MACEDON,1105000,1292500,927000,1000000
WOODEND,865000,940000,1100000,1085000
KYNETON,827500,814000,700000,752500
MALMSBURY,810000,762500,731500,965000
CASTLEMAINE,788000,715000,715000,720000
CAMPBELLS CREEK,724000,716300,640000,745000
MCKENZIE HILL,930000,800500,745000,715000
HARCOURT,599000,760000,770000,700000
TRENTHAM,780000,1280000,877500,1060000
DAYLESFORD,952500,887000,890000,869000
HEPBURN,1032500,625000,682500,600000
MALDON,801300,705000,676000,747500
CARISBROOK,357500,390000,525000,422500
MARYBOROUGH,420000,412500,425000,372500
AVOCA,330000,336500,340000,400000
DUNOLLY,275000,350000,325000,485000
ST ARNAUD,272500,270000,300000,285200
DONALD,255000,270000,235000,158000
BIRCHIP,250000,175000,178800,191500
OUYEN,220000,185000,165000,208500
RED CLIFFS,334000,340000,285000,337500
SUNNYCLIFFS,382500,438000,327500,325000
IRYMPLE,500000,473800,530000,515200
MILDURA,430000,450000,415100,451500
NICHOLS POINT,640000,640000,557500,517500
MERBEIN,322500,282500,301500,295000
MARONG,635000,585000,655000,610000
INGLEWOOD,500000,310000,325000,340000
WEDDERBURN,290000,280000,230000,305000
HEATHCOTE,532500,465000,415000,550000
CHARLTON,320000,220000,335000,275000
SEA LAKE,159500,200000,135000,258500
BOORT,265000,265000,287500,225000
ROBINVALE,330000,402500,340000,385000
BENDIGO,540000,563500,505000,600000
EAST BENDIGO,585000,549000,512500,450000
FLORA HILL,515000,565000,535000,496000
IRONBARK,530000,475000,580000,547500
KENNINGTON,607500,643000,567500,610000
LONG GULLY,400000,400000,361000,455000
NORTH BENDIGO,515000,500000,520000,530000
QUARRY HILL,545000,615000,580000,601000
SPRING GULLY,580000,610000,775000,797500
STRATHDALE,685000,620000,575000,635000
WHITE HILLS,465000,507500,496100,547000
ASCOT (GREATER BENDIGO),575000,635000,593800,622000
AXEDALE,537500,695000,410000,410000
EPSOM,545000,610000,592500,588800
HUNTLY,535000,586500,581500,550000
JUNORTOUN,886800,767500,770000,832500
MAIDEN GULLY,750000,800000,780000,830000
STRATHFIELDSAYE,710000,725000,756000,675000
GOLDEN SQUARE,487500,515000,540000,505000
KANGAROO FLAT,495000,503800,502500,504000
CALIFORNIA GULLY,443500,458000,458800,482000
EAGLEHAWK,530000,502500,478800,432500
JACKASS FLAT,509000,515000,495000,521500
SAILORS GULLY,454000,521000,430000,465000
ELMORE,315000,371000,520000,349000
ROCHESTER,250000,260000,270000,270000
LOCKINGTON,385000,405000,285000,285000
ECHUCA,595000,540000,577500,586000
GUNBOWER,140000,200000,200000,500000
COHUNA,317000,337500,315000,350000
PYRAMID HILL,240000,180000,182500,270000
KERANG,235000,270000,273000,310000
KOONDROOK,245400,290000,450000,545000
LAKE BOGA,280000,560000,290000,468000
SWAN HILL,448000,463500,401000,438800
NAGAMBIE,725000,660000,505000,627500
MURCHISON,410000,337000,344500,275000
RUSHWORTH,305000,380000,392000,369000
TATURA,460000,480000,495000,447500
MERRIGUM,250000,300000,224000,282500
KYABRAM,455000,441000,454500,457500
TONGALA,435000,364000,392500,470000
STANHOPE,397000,290000,325000,385000
MOOROOPNA,333300,391500,389500,347000
SHEPPARTON,452500,425500,435000,451400
KIALLA,695000,645000,600000,660000
SHEPPARTON NORTH,1100000,466500,632500,665500
NUMURKAH,400000,405000,310000,367500
NATHALIA,385000,290000,370000,390000
STRATHMERTON,320000,432500,432500,432500
COBRAM,455000,412500,450000,492500
BROADFORD,520000,540000,552500,571300
SEYMOUR,520000,430000,420000,480000
AVENEL,510000,540000,560000,575000
EUROA,490000,490000,487500,507500
VIOLET TOWN,530000,386800,570000,499500
BENALLA,435000,412500,405500,435000
WANGARATTA,483500,550000,532500,525000
CHILTERN,469000,360000,380000,412500
RUTHERGLEN,587500,460000,444500,490000
WAHGUNYAH,610000,501300,255000,310000
WEST WODONGA,549500,545000,545000,515000
WODONGA,500100,521000,540000,560000
BARANDUDA,532000,623800,639500,620000
BELLBRIDGE,592500,779000,779000,565000
KILLARA (WODONGA),649500,667500,665000,652500
LENEVA,735000,665000,690000,647500
TANGAMBALANGA,416000,588800,650000,649500
TAWONGA SOUTH,650000,550000,800000,383100
MOUNT BEAUTY,455000,505000,590000,531500
TALLANGATTA,401300,410000,510000,509500
CORRYONG,460000,322500,290000,320000
EILDON,447500,426300,558000,520000
ALEXANDRA,459500,468000,520000,471000
YEA,485000,550000,700000,507500
BONNIE DOON,712500,712500,612500,720000
MANSFIELD,740000,773000,795000,900000
GOUGHS BAY,560000,580000,590000,647500
JAMIESON,540000,737500,575000,575000
OSBORNE,1040000,1040000,960000,1035000
BUNDALONG,1075000,1390000,675000,968000
YARRAWONGA,595000,640800,620000,672500
MYRTLEFORD,595000,590000,585000,550000
POREPUNKAH,940000,895000,979000,995000
BRIGHT,931200,1195000,915000,1125000
BEECHWORTH,718000,725000,885000,740500
YACKANDANDAH,635000,786000,725000,770000
WOLLERT,710000,683600,714200,705000
SOUTH MORANG,715000,700000,733800,760000
BEVERIDGE,665000,658500,621500,656500
DOREEN,715800,716000,735000,730000
MERNDA,650000,663800,690000,683000
WALLAN,610000,630000,638000,620000
WALLAN EAST,563500,610000,611000,605000
WHITTLESEA,720000,775000,778500,710500
KINGLAKE,672500,651700,740000,761000
KILMORE,610000,570000,575000,600000
MONTROSE,846000,785000,835500,878500
KALORAMA,885000,982500,869000,825000
MOUNT DANDENONG,746300,900000,750000,1007500
COLDSTREAM,795000,838000,865000,770000
YARRA GLEN,782500,786800,785000,800000
BADGER CREEK,665000,767500,820000,685000
HEALESVILLE,750000,865000,825000,758000
COCKATOO,767500,683000,700000,770000
EMERALD,882500,890000,869000,750000
GEMBROOK,950000,737500,770000,777500
FERNY CREEK,950000,890000,835000,1037300
SASSAFRAS,1290000,1520000,894500,860000
OLINDA,839000,1010000,765000,996000
KALLISTA,788800,911100,845000,780000
MONBULK,825000,782000,705000,835000
MOUNT EVELYN,807500,784500,855000,830000
YARRA JUNCTION,709500,680000,738000,685000
EAST WARBURTON,700500,600000,715000,532000
WARBURTON,740000,672500,714400,616300
ENDEAVOUR HILLS,770000,820000,780000,805000
HALLAM,660000,705000,735000,740000
NARRE WARREN NORTH,1452500,1401000,1510000,1725000
